event_day,event_hour,topics,city,country
2017-03-20,12:00,Social,Boca Raton,us
2017-03-20,12:00,Wellness,Boca Raton,us
2017-03-21,00:30,Women Who Code,Washington,us
2017-03-21,00:30,Technology,Washington,us
2017-03-21,00:30,Software Development,Washington,us
2017-03-21,00:30,Computer programming,Washington,us
2017-03-21,00:30,JavaScript,Washington,us
2017-03-21,00:30,Web Development,Washington,us
2017-03-21,00:30,Mobile Development,Washington,us
2017-03-21,00:30,WWC,Washington,us
2017-03-21,00:30,Android Development,Washington,us
2017-03-21,00:30,Python,Washington,us
2017-03-21,00:30,Ruby On Rails,Washington,us
2017-03-21,00:30,Data Science,Washington,us
2017-03-21,00:30,Algorithms,Washington,us
2017-03-21,00:30,Women in Technology,Washington,us
2017-03-21,00:30,Open Source,Washington,us
2017-03-19,15:30,Classic Books,Paris,fr
2017-03-19,15:30,Intellectual Curiosity,Paris,fr
2017-03-19,15:30,Risk Management,Paris,fr
2017-03-19,15:30,Existentialist Philosophy,Paris,fr
2017-03-19,15:30,Philosophy Discussions,Paris,fr
2017-03-19,15:30,Philosophy Now,Paris,fr
2017-03-19,15:30,Self-Improvement,Paris,fr
2017-03-19,15:30,Consciousness,Paris,fr
2017-03-19,15:30,Intellectual Discussion,Paris,fr
2017-03-19,15:30,Reading,Paris,fr
2017-03-19,15:30,Knowledge Sharing,Paris,fr
2017-03-19,15:30,Philosophy,Paris,fr
2017-03-19,15:30,Skeptics,Paris,fr
2017-03-19,15:30,Critical Thinking,Paris,fr
2017-03-19,15:30,Epistemology,Paris,fr
2017-03-28,19:00,Toastmasters,New York,us
2017-03-28,19:00,Self-Improvement,New York,us
2017-03-28,19:00,Public Speaking,New York,us
2017-03-28,19:00,Fear of Public Speaking,New York,us
2017-03-28,19:00,Leadership,New York,us
2017-03-20,23:15,Social,East Haven,us
2017-03-20,23:15,Live Music,East Haven,us
2017-03-20,23:15,Fun Times,East Haven,us
2017-03-20,23:15,Social Networking,East Haven,us
2017-03-20,23:15,Singles,East Haven,us
2017-03-20,23:15,70's Music,East Haven,us
2017-03-20,23:15,Dining Out,East Haven,us
2017-03-20,23:15,Nightlife,East Haven,us
2017-03-20,23:15,80's Music,East Haven,us
2017-03-20,23:15,90's Music,East Haven,us
2017-04-27,20:30,Software Development,Liverpool,gb
2017-04-27,20:30,Test Driven Development,Liverpool,gb
2017-04-27,20:30,Context driven testing,Liverpool,gb
2017-04-27,20:30,Agile Testing,Liverpool,gb
2017-04-27,20:30,Software QA and Testing,Liverpool,gb
2017-04-27,20:30,Computer programming,Liverpool,gb
2017-04-27,20:30,Test Automation,Liverpool,gb
2017-04-27,20:30,Software Quality,Liverpool,gb
2017-04-27,20:30,Quality Assurance,Liverpool,gb
2017-04-27,20:30,Load Testing and Performance,Liverpool,gb
2017-04-27,20:30,Automating Web Application Testing,Liverpool,gb
2017-04-27,20:30,Software Testing,Liverpool,gb
2017-04-02,03:00,Lomography,Melbourne,au
2017-04-02,03:00,Analogue Photography,Melbourne,au
2017-04-02,03:00,Location Photography,Melbourne,au
2017-04-02,03:00,Travel Photography,Melbourne,au
2017-04-02,03:00,Digital Photography,Melbourne,au
2017-04-02,03:00,Photography,Melbourne,au
